District,Latitude,Longitude
Bandarban,22.1936,92.2187
Barisal,22.7010,90.3535
Bogra,24.8481,89.3730
Chittagong,22.3569,91.7832
Comilla,23.4607,91.1809
Dhaka,23.8103,90.4125
Dinajpur,25.6279,88.6332
Faridpur,23.6204,89.8130
Jamalpur,24.9250,89.9463
Jessore,23.1778,89.1801
Khagrachari,23.1322,91.9490
Khulna,22.8456,89.5403
Kishoreganj,24.4260,90.9821
Kushtia,23.8907,89.1099
Mymensingh,24.7471,90.4203
Noakhali,22.8724,91.0973
Pabna,24.0129,89.2591
Patuakhali,22.2249,90.4548
Rajshahi,24.3745,88.6042
Rangamati,22.7324,92.2985
Rangpur,25.7439,89.2752
Sylhet,24.8949,91.8687
Tangail,24.3917,89.9948