Country,Year,Average of Harevested Ares in Hectares,Average of Production in Tonees,Average of Yield Tonnes/hectare,"rice consumption per year
kg/yr",Consumer Price Index,"rice consumption per capita
kg/yr","irrigatble land
1000 hectares",Land area(1000 hectares),export quantity(tonnes),export value(1000 USD),import value(1000 USD),import quantity(tonnes),Average Quarter 1 temperature(Celcios),Average Quarter 2 temperature(Celcios),Average Quarter 3 temperature(Celcios),Average Quarter 4 temperature(Celcios),Average Quarter 1 rainfall (in MM),Average Quarter 2 rainfall (in MM),Average Quarter 3 rainfall (in MM),Average Quarter 4 rainfall (in MM),Average Yearly Humidity
BANGLADESH,2000,10844107,37630250,3.47,163.94,53.91,163.94,NA,13017.00,NA,500.00,64069.00,401000.00,20.63716667,27.5497,27.96063333,23.39566667,41.22196667,336.2166667,368.9123333,62.28833,46
BANGLADESH,2001,10663500,36369000,3.41,172.90,54.99,172.90,NA,13017.00,NA,400.00,22420.00,313000.00,22.1808,27.98283333,28.42163333,23.96386667,13.68042333,312.3613333,332.4726667,90.83757667,32
BANGLADESH,2002,10774000,37688500,3.5,172.94,56.82,172.94,NA,13017.00,NA,242.00,146030.00,1112000.00,22.0706,27.89256667,27.9815,23.7353,24.21788333,330.302,418.3486667,71.10016,33
BANGLADESH,2003,10813520,38796710,3.59,175.95,60.04,175.95,NA,13017.00,NA,188.00,219575.00,801000.00,21.1238,28.121,28.6281,23.6288,21.49079667,267.9876667,391.3923333,110.159,22
BANGLADESH,2004,10624051,37319988,3.515,174.21,64.60,174.21,4787.00,13017.00,NA,238.00,211464.00,785000.00,22.01396667,28.284,28.16323333,23.3678,14.45502667,322.5283333,270.4066667,119.39771,10
BANGLADESH,2005,10812033.5,41468308,3.835,169.41,69.15,169.41,4760.00,13017.00,NA,4054.00,135307.00,531000.00,22.2224,28.3825,28.405,23.50073333,31.06762,222.5376667,304.1243333,81.55274667,45
BANGLADESH,2006,10889500,42138500,3.865,171.11,73.83,171.11,4883.00,13017.00,NA,6034.00,62408.00,1570000.00,23.1111,28.20923333,28.60246667,24.0675,4.670703333,272.1546667,370.0313333,46.66593,12
BANGLADESH,2007,10837500,43192500,3.985,176.07,80.56,176.07,NA,13017.00,NA,5973.00,155419.00,1658000.00,21.59756667,28.44583333,28.44273333,24.0533,21.17432,324.928,597.258,89.87092667,14
BANGLADESH,2008,11319575,46773500,4.13,174.27,87.73,174.27,NA,13017.00,NA,7063.00,289175.00,146000.00,21.51713333,28.2862,28.27676667,23.93926667,24.66806667,261.5283333,378.773,56.58139,56
BANGLADESH,2009,11476766,47324500,4.125,173.13,92.48,173.13,NA,13017.00,NA,3455.00,14116.00,660000.00,23.00503333,28.97153333,28.79833333,24.1133,14.32374667,211.2853333,391.559,75.13898667,34
BANGLADESH,2010,11614500,48808100,4.205,172.79,100.00,172.79,NA,13017.00,NA,2922.00,273723.00,1486000.00,22.48956667,28.90796667,28.76476667,24.28876667,34.44431667,336.37,333.9993333,77.90192,23
BANGLADESH,2011,11624000,50591000,4.35,172.62,110.70,172.62,NA,13017.00,NA,821.00,638721.00,53000.00,21.59786667,28.16916667,28.2772,23.81373333,15.98076,325.0219667,567.2856667,24.41054333,45
BANGLADESH,2012,11536500,50616000,4.39,172.47,117.59,172.47,NA,13017.00,NA,2767.00,20531.00,114000.00,20.8427,27.98953333,28.13853333,22.94433333,23.28351333,242.0613333,375.929,68.43933333,56
BANGLADESH,2013,11561000,51562000,4.46,171.73,126.44,171.73,NA,13017.00,NA,3386.00,118506.00,1335000.00,21.2596,27.83813333,28.09193333,22.3848,7.251873333,260.0963333,367.8956667,85.11234667,76
BANGLADESH,2014,11554745,52040310,4.505,NA,135.28,NA,NA,13017.00,25000.00,4477.00,369729.00,598000.00,20.26386667,28.50463333,28.1376,22.56813333,14.79596667,201.8395667,405.1656667,19.3235,34
BANGLADESH,2015,11568387.5,51516700,4.455,NA,143.66,NA,NA,13017.00,4000.00,6048.00,405843.00,35000.00,20.95186667,27.65793333,28.0143,22.91966667,18.06042,272.139,527.073,30.72851,34
BANGLADESH,2016,11566976.5,52231000,4.52,NA,NA,NA,NA,NA,4000.00,4254.00,19599.00,2348000.00,21.54333333,28.16453333,28.31656667,23.40256667,22.98983,208.0213333,408.604,67.83061,32
BANGLADESH,2017,11272000,48980000,4.35,NA,NA,NA,NA,NA,4000.00,NA,NA,1200000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
BANGLADESH,2018,11770000,52055000,4.42,NA,NA,NA,NA,NA,NA,NA,NA,1100000.00,NA,NA,NA,NA,NA,NA,NA,NA,22
BRAZIL,2000,3403402,10665294,3.145,38.24,52.54,38.24,NA,835814.00,19000.00,6505.00,140746.00,676000.00,NA,NA,NA,NA,NA,NA,NA,NA,12
BRAZIL,2001,3145913,10288592.5,3.27,35.41,56.14,35.41,NA,835814.00,29000.00,5544.00,136097.00,564000.00,NA,NA,NA,NA,NA,NA,NA,NA,14
BRAZIL,2002,3164025.5,10406993,3.285,34.37,60.88,34.37,NA,835814.00,19000.00,6016.00,113825.00,1306000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
BRAZIL,2003,3456429.5,11570801.5,3.34,35.92,69.84,35.92,NA,835814.00,37000.00,4838.00,299771.00,829000.00,NA,NA,NA,NA,NA,NA,NA,NA,21
BRAZIL,2004,3827074,13253004,3.465,38.34,74.45,38.34,NA,835814.00,272000.00,7611.00,252658.00,548000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
BRAZIL,2005,3455927.5,12385931.5,3.62,39.25,79.56,39.25,NA,835814.00,291000.00,56705.00,129460.00,691000.00,NA,NA,NA,NA,NA,NA,NA,NA,34
BRAZIL,2006,2968959,11421342.5,3.845,34.65,82.89,34.65,4454,835814.00,201000.00,59783.00,184887.00,684000.00,NA,NA,NA,NA,NA,NA,NA,NA,32
BRAZIL,2007,2882463,11558870.5,4.015,33.26,85.90,33.26,NA,835814.00,511000.00,53359.00,236667.00,417000.00,NA,NA,NA,NA,NA,NA,NA,NA,32
BRAZIL,2008,2879839,12332232.5,4.28,33.26,90.77,33.26,NA,835814.00,591000.00,311636.00,225704.00,650000.00,NA,NA,NA,NA,NA,NA,NA,NA,46
BRAZIL,2009,2818518,12155572,4.31,34.57,95.20,34.57,NA,835814.00,430000.00,267552.00,272472.00,778000.00,NA,NA,NA,NA,NA,NA,NA,NA,32
BRAZIL,2010,2777729.5,12455993,4.48,33.53,100.00,33.53,NA,835814.00,1296000.00,157599.00,397616.00,591000.00,NA,NA,NA,NA,NA,NA,NA,NA,33
BRAZIL,2011,2589945.5,12538497,4.84,34.16,106.64,34.16,NA,835814.00,1105000.00,612754.00,273050.00,732000.00,NA,NA,NA,NA,NA,NA,NA,NA,22
BRAZIL,2012,2401644,11684440.5,4.87,31.76,112.40,31.76,NA,835814.00,830000.00,545955.00,341500.00,712000.00,NA,NA,NA,NA,NA,NA,NA,NA,10
BRAZIL,2013,2376576,11994274.5,5.05,32.13,119.37,32.13,NA,835814.00,852000.00,400594.00,372660.00,586000.00,NA,NA,NA,NA,NA,NA,NA,NA,45
BRAZIL,2014,2317939,12312301,5.31,NA,126.93,NA,NA,835814.00,895000.00,396799.00,301618.00,363000.00,NA,NA,NA,NA,NA,NA,NA,NA,12
BRAZIL,2015,2074198.5,11452100.5,5.515,NA,138.38,NA,NA,835814.00,641000.00,350179.00,157686.00,786000.00,NA,NA,NA,NA,NA,NA,NA,NA,14
BRAZIL,2016,1962469,11475094.5,5.84,NA,NA,NA,NA,NA,594000.00,251941.00,288689.00,754000.00,NA,NA,NA,NA,NA,NA,NA,NA,56
BRAZIL,2017,1960000,11875000,6.06,NA,NA,NA,NA,NA,850000.00,NA,NA,650000.00,NA,NA,NA,NA,NA,NA,NA,NA,34
BRAZIL,2018,1960000,11800000,6.02,NA,NA,NA,NA,NA,700000.00,NA,NA,700000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
CHINA,2000,29961945,187908500,6.27,232.48,70.50,232.48,NA,938822.00,1847000.00,561054.00,112715.00,270000.00,-4.569943333,13.61756667,17.9812,-0.078753333,16.1284,66.26473333,86.15393333,25.70826667,45
CHINA,2001,28812200,177580496,6.16,230.50,71.01,230.50,NA,938821.42,1963000.00,329005.00,98853.00,304000.00,-3.747,13.32752667,17.9711,0.83534,16.1216,65.8728,79.92156667,21.41203333,56
CHINA,2002,28201000,174541004,6.19,231.54,70.46,231.54,NA,938821.32,2583000.00,380398.00,79665.00,258000.00,-1.835833333,13.35669667,17.74916667,0.030766667,17.31263333,77.75053333,83.30796667,24.59573333,76
CHINA,2003,26508000,160658000,6.06,231.67,71.28,231.67,NA,938821.27,880000.00,494663.00,96532.00,1122000.00,-3.25951,13.04720667,17.6031,0.69537,17.85233333,68.72443333,89.66233333,18.69460333,34
CHINA,2004,28378850,179089496,6.31,227.29,74.05,227.29,NA,938821.25,656000.00,232552.00,251539.00,609000.00,-2.843943333,13.60837,17.6185,0.91489,15.82016667,63.9354,86.06303333,17.16883333,34
CHINA,2005,28847200,180589500,6.26,225.83,75.40,225.83,NA,938821.18,1216000.00,224648.00,196079.00,654000.00,-4.444356667,13.56611667,18.12643333,0.592763333,17.96135,67.71626667,87.2833,16.96377333,32
CHINA,2006,28937945,181716000,6.28,220.22,76.50,220.22,NA,938821.14,1340000.00,408739.00,288470.00,472000.00,-3.158183333,13.25661,18.24893333,1.618406667,17.46923333,68.41186667,76.8029,20.17122,23
CHINA,2007,28919000,186034000,6.43,206.48,80.15,206.48,NA,938821.08,969000.00,478583.00,217631.00,295000.00,-2.267496667,13.87822667,18.082,1.205306667,18.64069667,61.01816667,89.68213333,14.98915667,22
CHINA,2008,29240550,191897850,6.56,214.80,84.83,214.80,NA,938821.08,783000.00,481429.00,183399.00,337000.00,-4.13119,13.72073333,17.83833333,1.29128,17.7568,66.45033333,91.3968,21.36752667,12
CHINA,2009,29627000,195101504,6.59,217.19,84.24,217.19,NA,938821.10,619000.00,523565.00,201402.00,366000.00,-2.725923333,13.79237667,17.8702,0.258703333,15.36128667,61.5017,81.1333,18.21226667,14
CHINA,2010,29873200,195737496,6.55,215.67,100.00,215.67,NA,938821.10,487000.00,416057.00,253286.00,575000.00,-3.754476667,12.81146333,18.32636667,0.861056667,19.98793333,69.11066667,94.62683333,20.55836667,23
CHINA,2011,30057020,201000448,6.69,218.41,105.41,218.41,NA,938821.10,267000.00,426959.00,386750.00,2900000.00,-4.77899,13.54387333,17.85273333,0.985686667,12.14228333,60.15453333,78.79586667,21.84025667,21
CHINA,2012,30137055,204260950,6.78,206.49,108.20,206.49,NA,938821.10,447000.00,271997.00,1125598.00,3500000.00,-5.057836667,13.83212,17.8264,-0.246286667,19.27386667,67.3453,94.08226667,23.73356667,23
CHINA,2013,30311875,203613096,6.72,204.01,111.04,204.01,NA,938821.10,393000.00,416665.00,1051995.00,4450000.00,-3.50336,13.36780667,18.04383333,0.995263333,14.83099667,69.61766667,92.75863333,20.89806667,34
CHINA,2014,30309935,206510696,6.81,NA,113.26,NA,NA,938821.10,262000.00,378283.00,1228944.00,5150000.00,-3.261693333,12.88432,17.64556667,0.87685,16.81034333,58.11516667,89.75566667,18.64765333,32
CHINA,2015,30212850,208236500,6.89,NA,114.89,NA,NA,938821.10,368000.00,267177.00,1470951.00,4600000.00,-2.33002,13.36133,17.69083333,1.211416667,16.07053333,70.1399,84.74256667,28.56866667,32
CHINA,2016,30188785.5,208289518.5,6.9,NA,NA,NA,NA,NA,1173000.00,378807.00,1586120.00,5900000.00,-3.447933333,13.62750333,18.49563333,1.106086667,17.24696667,80.01883333,94.67053333,28.27946667,46
CHINA,2017,30176000,208556000,6.91,NA,NA,NA,NA,NA,1600000.00,NA,NA,5500000.00,NA,NA,NA,NA,NA,NA,NA,NA,32
CHINA,2018,29500000,203143000,6.89,NA,NA,NA,NA,NA,1800000.00,NA,NA,5500000.00,NA,NA,NA,NA,NA,NA,NA,NA,33
INDIA,2000,44712000,127471448,2.85,72.62,54.16,72.62,NA,297319.00,1936000.00,655458.00,3959.00,NA,20.00483333,29.1748,26.71743333,22.004,12.58709,90.45233333,200.9696667,20.56035,22
INDIA,2001,44902000,139957500,3.12,70.46,56.16,70.46,58130.00,297319.00,6650000.00,706828.00,15.00,NA,20.72963333,28.80293333,26.91723333,22.0781,8.137196667,97.71343333,175.3891667,36.91051333,10
INDIA,2002,41176050,107731152,2.62,68.99,58.62,68.99,56936.00,297319.00,4421000.00,1212481.00,225.00,NA,20.72003333,29.7382,26.97346667,22.0239,12.77416667,79.59913333,163.6293333,31.46477667,45
INDIA,2003,42592750,132792500,3.12,67.92,60.85,67.92,55397.00,297319.00,3172000.00,895283.00,59.00,NA,20.4796,29.673,26.70136667,21.6092,18.58987,68.25793333,212.9113333,37.50418,12
INDIA,2004,41906850,124700052,2.98,70.04,63.15,70.04,57058.00,297319.00,4687000.00,1478077.00,78.00,NA,20.99576667,29.2477,26.9922,21.57443333,8.736393333,90.9513,189.3083333,34.33989333,14
INDIA,2005,43659900,137690548,3.15,71.57,65.83,71.57,59206.00,297319.00,4537000.00,1411156.00,90.00,NA,20.56566667,29.23253333,26.88476667,21.14586667,18.15703333,67.38543333,211.6026667,40.54636667,56
INDIA,2006,43812000,139584496,3.19,70.76,69.87,70.76,60838.00,297319.00,6301000.00,1553528.00,102.00,NA,21.1266,29.13946667,26.8169,22.08343333,14.55258333,83.8914,241.3576667,35.64020667,34
INDIA,2007,43912000,144804000,3.295,71.20,74.32,71.20,62745.00,297319.00,3383000.00,2848085.00,125.00,NA,20.59123333,29.48626667,27.08293333,21.73966667,17.77802,86.909,234.928,24.11945667,23
INDIA,2008,45537200,148404500,3.26,72.24,80.53,72.24,62286.00,297319.00,2149000.00,2582327.00,77.00,NA,20.34383333,28.72366667,26.66213333,22.32993333,14.43626667,95.50943333,220.1926667,30.57220333,45
INDIA,2009,41918150,134655496,3.215,71.69,89.29,71.69,63639.00,297319.00,2228000.00,2326388.00,102.00,NA,21.73043333,29.8828,27.3891,21.95536667,7.320416667,65.9697,194.9676667,43.95693333,56
INDIA,2010,42862200,143966004,3.36,72.10,100.00,72.10,61939.00,297319.00,4637000.00,2295183.00,1186.00,NA,21.35453333,30.2912,27.04646667,22.00123333,10.61389667,80.12203333,250.6396667,51.73456667,76
INDIA,2011,44008000,157933500,3.59,70.82,108.86,70.82,63601.00,297319.00,10250000.00,4081406.00,577.00,NA,20.41273333,28.9614,26.86256667,22.08213333,10.81757667,98.78153333,252.4883333,21.58029333,34
INDIA,2012,42754000,157838500,3.69,70.30,119.00,70.30,65263.00,297319.00,10480000.00,6129244.00,1302.00,NA,20.06103333,29.65946667,26.91056667,21.4724,10.64469,55.91726667,245.9526667,28.56341,34
INDIA,2013,44135975,159592500,3.62,69.49,131.97,69.49,66103.00,297319.00,11588000.00,8205309.00,1644.00,NA,20.3564,29.1192,26.67706667,21.3766,15.32441,106.9266,234.8463333,46.29750333,32
INDIA,2014,44110000,157719500,3.575,NA,NA,NA,NA,297319.00,11046000.00,7905650.00,1137.00,NA,19.8684,29.35316667,27.17616667,21.57053333,20.5317,56.34836667,216.8796667,28.67461,23
INDIA,2015,43384000,156584000,3.61,NA,NA,NA,NA,297319.00,10040000.00,6380082.00,942.00,NA,20.04983333,28.99236667,27.17963333,22.2569,21.68396667,94.06376667,207.8706667,26.45759333,22
INDIA,2016,43478990,161659935.5,3.72,NA,NA,NA,NA,NA,12560000.00,5315535.00,NA,NA,21.4811,29.8872,26.95943333,21.8304,12.76164333,78.08913333,238.1716667,23.10374667,12
INDIA,2017,42900000,165017000,3.85,NA,NA,NA,NA,NA,12800000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
INDIA,2018,43500000,163516000,3.76,NA,NA,NA,NA,NA,13000000.00,NA,319130.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
INDONESIA,2000,11696500,51699000,4.42,129.54,44.02,129.54,NA,181157.00,NA,306.00,134912.00,1500000.00,25.96733333,26.13233333,26.05703333,26.4523,288.9156667,264.7833333,179.4993333,307.3186667,21
INDONESIA,2001,11550000,50780900,4.4,127.59,49.08,127.59,NA,181157.00,NA,793.00,342527.00,3500000.00,25.99643333,26.40233333,26.23096667,26.39446667,311.3423333,235.5026667,159.8456667,288.213,23
INDONESIA,2002,11510583,51644848,4.485,127.46,54.91,127.46,NA,181157.00,NA,1130.00,332818.00,2750000.00,26.22363333,26.64743333,26.15616667,26.6492,266.803,225.832,145.4343333,244.3133333,34
INDONESIA,2003,11688678.5,53219300,4.55,126.62,58.53,126.62,NA,181157.00,NA,320.00,102572.00,650000.00,26.1709,26.60686667,25.91826667,26.32833333,302.0923333,220.805,193.1566667,294.436,32
INDONESIA,2004,11786487,54044234,4.59,125.88,62.18,125.88,NA,181157.00,50000,456.00,51498.00,500000.00,26.331,26.5723,25.80363333,26.24123333,285.1563333,213.365,143.4729333,256.4793333,32
INDONESIA,2005,11819530,54175548,4.58,125.14,68.68,125.14,NA,181157.00,NA,8657.00,132621.00,539000.00,26.4017,26.43273333,26.18756667,26.16246667,252.9883333,242.399,160.6626667,297.6926667,23
INDONESIA,2006,11843215,54591968,4.61,125.09,77.69,125.09,NA,181157.00,NA,531.00,467720.00,2000000.00,26.09773333,25.99973333,25.92496667,26.4419,288.289,266.813,124.8356667,201.217,44
INDONESIA,2007,12023818.5,57260718,4.765,126.50,82.67,126.50,NA,181157.00,NA,472.00,124143.00,350000.00,26.09466667,26.40033333,25.8412,26.21353333,301.192,285.8643333,183.684,243.5046667,52
INDONESIA,2008,12239577.5,59823036,4.885,128.02,90.75,128.02,NA,181157.00,10000,865.00,108153.00,250000.00,25.81876667,26.039,25.779,26.3844,284.6816667,242.549,203.279,319.258,54
INDONESIA,2009,12491788,60837444,4.865,129.94,95.12,129.94,NA,181157.00,NA,1814.00,360785.00,1150000.00,25.83896667,26.55673333,26.2818,26.5951,321.997,219.0206667,162.407,270.13,12
INDONESIA,2010,12664225,61409196,4.845,131.78,100.00,131.78,NA,181157.00,NA,452.00,1513164.00,3098000.00,26.4535,26.75296667,26.15323333,26.3446,288.9536667,317.0663333,296.1476667,291.3916667,12
INDONESIA,2011,12681821.5,61618452,4.855,133.02,105.36,133.02,NA,181157.00,NA,837.00,945623.00,1960000.00,25.9798,26.2205,25.98506667,26.48033333,287.9013333,269.3916667,162.1526667,304.333,23
INDONESIA,2012,12817762,63307564,4.93,134.39,109.86,134.39,NA,181157.00,NA,1186.00,246002.00,650000.00,26.25843333,26.48063333,25.99113333,26.60323333,305.4376667,260.943,168.6723333,278.6,14
INDONESIA,2013,12967626,64222356,4.935,134.62,116.91,134.62,NA,181157.00,NA,1193.00,388178.00,1225000.00,26.4444,26.7408,26.09173333,26.43193333,286.195,254.8416667,186.1533333,294.2406667,16
INDONESIA,2014,12813653.5,63423232.5,4.93,NA,124.39,NA,NA,181157.00,NA,760.00,351602.00,1350000.00,26.01046667,26.75553333,26.0842,26.66586667,197.094,254.811,172.118,255.4213333,23
INDONESIA,2015,8743584.667,44160412.95,5.13,NA,132.30,NA,NA,181157.00,2000,630.00,531842.00,1050000.00,26.12156667,26.76283333,26.2616,26.83326667,269.8283333,226.9486667,100.7568,220.6793333,21
INDONESIA,2016,13257605.5,67901254.5,5.095,NA,NA,NA,NA,NA,2000,864.00,NA,350000.00,26.8961,27.1037,26.44983333,26.6537,282.4163333,252.2333333,215.3233333,296.1336667,56
INDONESIA,2017,12250000,58268000,4.76,NA,NA,NA,NA,NA,2000,NA,NA,2000000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
INDONESIA,2018,12240000,58740000,4.8,NA,NA,NA,NA,NA,2000,NA,NA,1200000.00,NA,NA,NA,NA,NA,NA,NA,NA,12
VIETNAM,2000,7666300,32529500,4.24,149.39,,48.13, ,,,,,,,,,,,,,,
VIETNAM,2001,7471000,32108400,4.29,151.87,,47.92,,,,,,,,,,,,,,,
VIETNAM,2002,7463000,34447200,4.59,155.24,,49.76,,,,,,,,,,,,,,,
VIETNAM,2003,7468000,34568800,4.64,155.40,,51.36,,,,,,,,,,,,,,,
VIETNAM,2004,7450000,36148900,4.86,154.76,,55.34,,,,,,,,,,,,,,,
VIETNAM,2005,7329200,35832900,4.89,148.86,,59.93,,,,,,,,,,,,,,,
VIETNAM,2006,7203000,35849500,4.89,143.29,,64.35,,,,,,,,,,,,,,,
VIETNAM,2007,7412000,35942700,4.99,144.11,,69.70,,,,,,,,,,,,,,,
VIETNAM,2008,7400200,38729800,5.23,145.72,,85.81,,,,,,,,,,,,,,,
VIETNAM,2009,7437200,38950200,5.24,144.76,,91.86,,,,,,,,,,,,,,,
VIETNAM,2010,7607000,40005600,5.34,145.40,,100.00,,,,,,,,,,,,,,,
VIETNAM,2011,7655440,42398344,5.54,145.31,,118.68,,,,,,,,,,,,,,,
VIETNAM,2012,7761314,43737598,5.64,141.69,,129.47,,,,,,,,,,,,,,,
VIETNAM,2013,7902813,44039100,5.57,144.56,,138.01,,,,,,,,,,,,,,,
VIETNAM,2014,7816476,44974206,5.75,,,143.64,,,,,,,,,,,,,,,
VIETNAM,2015,7704000,45105021,5.76,,,144.91,,,,,,,,,,,,,,,
VIETNAM,2016,7714000,43437229,5.58,,,,,,,,,,,,,,,,,,
VIETNAM,2017,7760000,45728000,5.89,,,,,,,,,,,,,,,,,,
VIETNAM,2018,7760000,45880000,5.91,,,,,,,,,,,,,,,,,,