"Business Demography NACE Rev 2 by Employment Size, County, statistical",,,,,,,,,,,,
 , ,Employees (Number),5122,4378,3970,3702,3768,3926,4023,4210,4563,4742
 ,Wicklow,,,,,,,,,,,
 , ,Active Enterprises (Number),336,273,265,248,243,235,278,296,295,324
 , ,Persons Engaged (Number),4466,3605,3509,3280,3193,3099,3673,3922,3916,4256
 , ,Employees (Number),4364,3506,3413,3207,3126,3037,3598,3846,3838,4187
20 - 49,,,,,,,,,,,,
 ,Carlow,,,,,,,,,,,
 , ,Active Enterprises (Number),84,72,72,62,58,59,65,61,73,80
 , ,Persons Engaged (Number),2622,2186,2127,1851,1770,1769,1956,1803,2145,2504
 , ,Employees (Number),2607,2172,2118,1846,1763,1765,1951,1799,2140,2499
 ,Cavan,,,,,,,,,,,
 , ,Active Enterprises (Number),87,75,65,62,65,58,60,72,77,86
 , ,Persons Engaged (Number),2735,2287,2013,1979,2082,1831,1859,2229,2295,2449
 , ,Employees (Number),2715,2266,1994,1961,2063,1817,1847,2218,2284,2446
 ,Clare,,,,,,,,,,,
 , ,Active Enterprises (Number),123,103,101,95,98,100,114,113,123,128
 , ,Persons Engaged (Number),3746,3048,2936,2729,2896,2890,3278,3469,3724,3850
 , ,Employees (Number),3727,3034,2923,2715,2883,2879,3265,3458,3712,3840
 ,Cork,,,,,,,,,,,
 , ,Active Enterprises (Number),696,615,553,544,546,539,550,606,650,696
 , ,Persons Engaged (Number),20053,17909,16015,15988,16173,16418,16389,17838,19001,20594
 , ,Employees (Number),19881,17731,15892,15866,16067,16313,16277,17718,18875,20469
 ,Donegal,,,,,,,,,,,
 , ,Active Enterprises (Number),217,173,174,166,162,169,169,175,198,195
 , ,Persons Engaged (Number),6410,5164,5219,4836,4741,4953,4973,5055,5581,5643
 , ,Employees (Number),6390,5144,5198,4820,4725,4934,4960,5036,5563,5618
 ,Dublin,,,,,,,,,,,
 , ,Active Enterprises (Number),2466,2137,1999,1942,1976,1983,2043,2133,2288,2466
 , ,Persons Engaged (Number),73751,64145,59865,58377,59353,59269,61973,64433,69265,73994
 , ,Employees (Number),73378,63828,59554,58126,59114,59058,61773,64223,69066,73761
 ,Galway,,,,,,,,,,,
 , ,Active Enterprises (Number),342,295,263,251,249,266,274,290,301,321
 , ,Persons Engaged (Number),10279,8749,7838,7360,7452,7824,8065,8581,8871,9575
 , ,Employees (Number),10218,8705,7811,7336,7422,7787,8035,8544,8846,9547
 ,Kerry,,,,,,,,,,,
 , ,Active Enterprises (Number),183,144,120,121,123,138,154,154,168,177
 , ,Persons Engaged (Number),5178,4021,3390,3385,3370,3841,4347,4429,4874,5020
 , ,Employees (Number),5151,3997,3368,3370,3350,3821,4324,4402,4850,4996
 ,Kildare,,,,,,,,,,,
 , ,Active Enterprises (Number),229,183,167,167,184,201,201,196,212,234
 , ,Persons Engaged (Number),6719,5329,4927,5003,5452,6063,5997,5922,6290,6986
 , ,Employees (Number),6677,5304,4905,4984,5429,6042,5978,5905,6267,6963
 ,Kilkenny,,,,,,,,,,,
 , ,Active Enterprises (Number),122,100,87,94,90,90,94,96,97,110
 , ,Persons Engaged (Number),3627,3007,2618,2819,2684,2704,2831,2915,2971,3391
 , ,Employees (Number),3610,2997,2608,2809,2675,2694,2820,2902,2963,3381
 ,Laois,,,,,,,,,,,
 , ,Active Enterprises (Number),68,61,52,44,46,45,47,58,59,64
 , ,Persons Engaged (Number),2070,1861,1554,1375,1419,1409,1457,1845,1890,1913
 , ,Employees (Number),2059,1857,1551,1372,1417,1407,1454,1843,1888,1910
 ,Leitrim,,,,,,,,,,,
 , ,Active Enterprises (Number),38,25,23,23,26,27,30,34,30,33
 , ,Persons Engaged (Number),1189,807,688,690,738,812,896,1011,938,988
 , ,Employees (Number),1182,804,686,688,732,805,891,1007,935,985
 ,Limerick,,,,,,,,,,,
 , ,Active Enterprises (Number),288,244,208,197,200,201,210,233,262,273
 , ,Persons Engaged (Number),8606,6969,6158,5876,6022,6073,6205,6808,7627,8034
 , ,Employees (Number),8511,6881,6096,5816,5966,6042,6180,6773,7589,8006
 ,Longford,,,,,,,,,,,
 , ,Active Enterprises (Number),48,31,35,30,30,36,37,32,40,45
 , ,Persons Engaged (Number),1513,966,1034,864,879,1107,1113,979,1196,1360
 , ,Employees (Number),1507,962,1027,857,875,1103,1110,977,1190,1353
 ,Louth,,,,,,,,,,,
 , ,Active Enterprises (Number),172,141,122,123,120,124,145,157,168,162
 , ,Persons Engaged (Number),4787,4038,3495,3551,3337,3533,4035,4438,4785,4759
 , ,Employees (Number),4758,4019,3472,3531,3323,3521,4020,4419,4767,4743
 ,Mayo,,,,,,,,,,,
 , ,Active Enterprises (Number),169,151,133,123,129,129,128,139,156,160
 , ,Persons Engaged (Number),5108,4461,3982,3773,3949,3937,3998,4174,4632,4857
 , ,Employees (Number),5068,4425,3955,3750,3923,3915,3981,4154,4611,4841
 ,Meath,,,,,,,,,,,
 , ,Active Enterprises (Number),203,164,146,148,153,145,169,182,215,240
 , ,Persons Engaged (Number),5864,4538,4209,4269,4454,4131,5015,5332,6308,7027
 , ,Employees (Number),5830,4504,4179,4239,4424,4102,4982,5307,6282,7004
 ,Monaghan,,,,,,,,,,,
 , ,Active Enterprises (Number),88,73,71,73,64,65,67,76,81,85
 , ,Persons Engaged (Number),2660,2268,2139,2247,1979,1945,2032,2349,2518,2465
 , ,Employees (Number),2652,2260,2138,2245,1978,1943,2029,2346,2515,2459
 ,Offaly,,,,,,,,,,,
 , ,Active Enterprises (Number),72,57,54,46,48,51,56,61,73,78
 , ,Persons Engaged (Number),2074,1755,1625,1390,1381,1430,1514,1757,2076,2250
 , ,Employees (Number),2061,1742,1614,1382,1371,1420,1504,1745,2067,2240
 ,Roscommon,,,,,,,,,,,
 , ,Active Enterprises (Number),43,37,39,34,38,37,40,44,46,49
 , ,Persons Engaged (Number),1404,1161,1246,1108,1133,1102,1200,1366,1417,1373
 , ,Employees (Number),1400,1154,1239,1102,1127,1089,1187,1356,1406,1364
 ,Sligo,,,,,,,,,,,
 , ,Active Enterprises (Number),88,72,71,69,61,68,66,71,78,78
 , ,Persons Engaged (Number),2643,2171,2073,2065,1891,2083,1994,2160,2376,2268
 , ,Employees (Number),2614,2150,2052,2041,1876,2069,1982,2144,2366,2255
 ,Tipperary,,,,,,,,,,,
 , ,Active Enterprises (Number),168,138,129,126,121,128,148,149,167,158
 , ,Persons Engaged (Number),5069,4082,3716,3733,3622,3861,4270,4296,4816,4624
 , ,Employees (Number),5037,4053,3699,3715,3606,3847,4247,4277,4791,4608
 ,Waterford,,,,,,,,,,,
 , ,Active Enterprises (Number),150,122,103,102,107,106,112,126,137,143
 , ,Persons Engaged (Number),4494,3504,3030,3082,3146,3200,3240,3625,3999,4126
 , ,Employees (Number),4457,3472,3009,3060,3133,3183,3227,3607,3981,4112
 ,Westmeath,,,,,,,,,,,
 , ,Active Enterprises (Number),119,97,96,84,77,82,89,97,99,108
 , ,Persons Engaged (Number),3434,2700,2629,2310,2174,2303,2539,2807,3005,3119
 , ,Employees (Number),3404,2674,2605,2294,2165,2293,2533,2800,2999,3112
 ,Wexford,,,,,,,,,,,
 , ,Active Enterprises (Number),197,165,141,137,132,141,150,150,166,178
 , ,Persons Engaged (Number),5835,4783,4132,4008,3842,4182,4402,4468,4987,5342
 , ,Employees (Number),5794,4750,4109,3993,3832,4170,4389,4454,4960,5320
 ,Wicklow,,,,,,,,,,,
 , ,Active Enterprises (Number),157,129,109,109,114,120,111,121,140,144
 , ,Persons Engaged (Number),4677,3760,3231,3291,3364,3621,3358,3700,4333,4448
 , ,Employees (Number),4661,3748,3224,3283,3346,3608,3355,3698,4330,4443
50 - 249,,,,,,,,,,,,
 ,Carlow,,,,,,,,,,,
 , ,Active Enterprises (Number),32,31,28,32,31,31,31,35,35,35
 , ,Persons Engaged (Number),3209,2758,2541,2936,2975,2784,2925,3266,3284,3238
 , ,Employees (Number),3205,2755,2540,2935,2975,2784,2925,3266,3284,3238
 ,Cavan,,,,,,,,,,,
 , ,Active Enterprises (Number),32,28,27,30,29,32,37,38,46,51
 , ,Persons Engaged (Number),3061,2740,2589,2812,2545,2744,3151,3337,3942,4495
 , ,Employees (Number),3060,2739,2588,2811,2544,2743,3150,3336,3941,4495
 ,Clare,,,,,,,,,,,
 , ,Active Enterprises (Number),66,65,65,68,63,64,60,59,61,64
 , ,Persons Engaged (Number),7275,6573,6724,6818,6271,6443,6277,5944,6288,7037
 , ,Employees (Number),7275,6573,6723,6818,6271,6443,6277,5943,6288,7037
 ,Cork,,,,,,,,,,,
 , ,Active Enterprises (Number),335,292,272,258,258,269,292,304,317,328
 , ,Persons Engaged (Number),31846,26855,25257,23771,24380,25943,28245,30284,30889,32623
 , ,Employees (Number),31766,26798,25193,23717,24334,25904,28206,30240,30853,32590
 ,Donegal,,,,,,,,,,,
 , ,Active Enterprises (Number),71,59,49,54,55,57,64,73,77,83
 , ,Persons Engaged (Number),6234,5389,4308,4672,4795,5060,5713,6529,7062,7492
 , ,Employees (Number),6226,5387,4307,4670,4792,5057,5711,6527,7060,7490
 ,Dublin,,,,,,,,,,,
 , ,Active Enterprises (Number),1331,1138,1038,1058,1048,1104,1171,1262,1340,1384
 , ,Persons Engaged (Number),131715,112738,103910,107161,104830,108445,116747,125927,133238,138629
 , ,Employees (Number),131482,112505,103670,106895,104560,108124,116486,125675,132989,138396
 ,Galway,,,,,,,,,,,
 , ,Active Enterprises (Number),158,139,134,138,142,149,156,160,165,169
 , ,Persons Engaged (Number),14412,12190,11676,11849,12616,13272,14506,14727,15468,16662
 , ,Employees (Number),14401,12180,11666,11842,12610,13264,14499,14723,15462,16659
 ,Kerry,,,,,,,,,,,
 , ,Active Enterprises (Number),75,69,65,66,67,62,63,68,75,81
 , ,Persons Engaged (Number),6933,6064,5638,5979,6194,5935,6105,6559,7449,7780
 , ,Employees (Number),6928,6058,5633,5973,6188,5930,6101,6558,7448,7780
 ,Kildare,,,,,,,,,,,
 , ,Active Enterprises (Number),106,94,87,84,87,85,91,111,117,126
 , ,Persons Engaged (Number),10432,8283,7973,7595,7934,8091,8201,10523,10876,11838
 , ,Employees (Number),10428,8278,7971,7594,7933,8090,8200,10522,10875,11833
 ,Kilkenny,,,,,,,,,,,
 , ,Active Enterprises (Number),44,36,28,28,28,28,31,33,38,38
 , ,Persons Engaged (Number),3732,2915,2275,2567,2606,2761,3075,3390,3728,3870
 , ,Employees (Number),3725,2910,2275,2567,2606,2758,3072,3387,3726,3868
 ,Laois,,,,,,,,,,,
 , ,Active Enterprises (Number),23,15,15,15,13,14,16,18,23,30
 , ,Persons Engaged (Number),2128,1364,1246,1208,1063,1127,1212,1376,1817,2361
 , ,Employees (Number),2126,1362,1246,1208,1063,1127,1212,1375,1817,2361
 ,Leitrim,,,,,,,,,,,
 , ,Active Enterprises (Number),10,12,12,8,9,12,11,11,12,11
 , ,Persons Engaged (Number),1106,1252,1104,831,936,1427,1622,1260,1344,1129
 , ,Employees (Number),1106,1252,1104,831,936,1427,1622,1260,1344,1129
 ,Limerick,,,,,,,,,,,
 , ,Active Enterprises (Number),88,79,74,70,67,71,86,94,103,106
 , ,Persons Engaged (Number),8633,7162,6611,6166,5725,6153,7211,8219,8916,9606
 , ,Employees (Number),8585,7119,6573,6134,5701,6134,7195,8205,8902,9592
 ,Longford,,,,,,,,,,,
 , ,Active Enterprises (Number),18,17,15,15,16,13,14,20,19,17
 , ,Persons Engaged (Number),1700,1566,1449,1320,1418,1314,1266,1748,1592,1611
 , ,Employees (Number),1699,1565,1448,1319,1417,1314,1266,1747,1592,1611
 ,Louth,,,,,,,,,,,
 , ,Active Enterprises (Number),60,46,47,47,55,55,56,60,68,67
 , ,Persons Engaged (Number),4920,3801,4143,4529,4986,5177,5378,5810,6554,6262
 , ,Employees (Number),4920,3801,4143,4529,4985,5177,5378,5809,6554,6262
 ,Mayo,,,,,,,,,,,
 , ,Active Enterprises (Number),51,42,40,41,41,47,52,54,56,58
 , ,Persons Engaged (Number),4901,4118,3662,3828,3890,4169,4695,4551,4845,5148
 , ,Employees (Number),4895,4114,3657,3824,3885,4163,4687,4544,4841,5145
 ,Meath,,,,,,,,,,,
 , ,Active Enterprises (Number),80,67,61,57,57,60,60,71,74,86
 , ,Persons Engaged (Number),7640,6308,5438,5195,5191,5712,6227,6980,6919,8537
 , ,Employees (Number),7637,6305,5435,5191,5188,5710,6225,6978,6919,8536
 ,Monaghan,,,,,,,,,,,
 , ,Active Enterprises (Number),40,32,34,36,38,37,38,41,41,49
 , ,Persons Engaged (Number),4036,3066,3091,3368,3488,3076,3343,3678,3796,4458
 , ,Employees (Number),4031,3062,3086,3363,3484,3072,3339,3676,3794,4454
 ,Offaly,,,,,,,,,,,
 , ,Active Enterprises (Number),29,22,17,19,21,22,24,23,25,24
 , ,Persons Engaged (Number),2833,2334,1767,1844,1996,2091,2248,2162,2447,2496
 , ,Employees (Number),2833,2334,1767,1844,1996,2090,2247,2162,2447,2496
 ,Roscommon,,,,,,,,,,,
 , ,Active Enterprises (Number),30,27,23,22,25,26,25,25,28,31
 , ,Persons Engaged (Number),2826,2352,2109,1960,2180,2335,2421,2555,2907,2831
 , ,Employees (Number),2815,2349,2101,1952,2172,2333,2420,2554,2906,2830
 ,Sligo,,,,,,,,,,,
 , ,Active Enterprises (Number),28,23,22,21,24,24,26,26,28,32
 , ,Persons Engaged (Number),2417,2264,1754,1778,2275,2463,2417,2591,2635,2810
 , ,Employees (Number),2411,2258,1746,1772,2268,2456,2411,2591,2631,2806
 ,Tipperary,,,,,,,,,,,
 , ,Active Enterprises (Number),70,62,61,52,48,42,42,46,46,54
 , ,Persons Engaged (Number),6533,5744,5292,4662,4093,3535,3785,3967,4328,4739
 , ,Employees (Number),6531,5743,5291,4661,4092,3534,3784,3966,4327,4739
 ,Waterford,,,,,,,,,,,
 , ,Active Enterprises (Number),58,49,46,38,39,40,43,48,46,53
 , ,Persons Engaged (Number),5544,5093,4635,4099,3772,3693,4001,4924,4578,5276
 , ,Employees (Number),5543,5092,4631,4098,3769,3692,4000,4923,4577,5276
 ,Westmeath,,,,,,,,,,,
 , ,Active Enterprises (Number),43,34,35,34,33,32,32,33,34,38
 , ,Persons Engaged (Number),4063,3147,3119,3158,3245,3236,3235,3494,3710,3573
 , ,Employees (Number),4051,3138,3108,3147,3244,3235,3234,3493,3710,3573
 ,Wexford,,,,,,,,,,,
 , ,Active Enterprises (Number),79,65,58,53,50,45,55,58,59,63
 , ,Persons Engaged (Number),7646,6277,5656,5156,5090,4531,5448,5334,5627,5785
 , ,Employees (Number),7644,6274,5653,5153,5088,4531,5448,5334,5627,5785
 ,Wicklow,,,,,,,,,,,
 , ,Active Enterprises (Number),39,30,29,26,28,31,39,36,45,45
 , ,Persons Engaged (Number),3592,2915,2744,2383,2740,3015,3642,3165,4284,4695
 , ,Employees (Number),3591,2915,2744,2380,2737,3012,3639,3161,4280,4692
250 and over,,,,,,,,,,,,
 ,Carlow,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,..,..,..,..,..
 , ,Persons Engaged (Number),..,..,..,..,..,..,..,..,..,..
 , ,Employees (Number),..,..,..,..,..,..,..,..,..,..
 ,Cavan,,,,,,,,,,,
 , ,Active Enterprises (Number),6,5,5,5,5,5,5,5,5,5
 , ,Persons Engaged (Number),3606,3205,2941,2319,2456,2248,2277,2288,2138,2017
 , ,Employees (Number),3606,3205,2941,2319,2456,2248,2277,2288,2138,2017
 ,Clare,,,,,,,,,,,
 , ,Active Enterprises (Number),10,8,8,10,11,11,12,15,14,12
 , ,Persons Engaged (Number),3835,2968,2872,3357,4281,3906,4860,6078,5524,5176
 , ,Employees (Number),3835,2968,2872,3357,4281,3906,4860,6078,5524,5176
 ,Cork,,,,,,,,,,,
 , ,Active Enterprises (Number),49,46,38,42,43,45,48,43,50,48
 , ,Persons Engaged (Number),28919,27632,25473,27822,28114,29651,34418,33721,38932,39479
 , ,Employees (Number),28919,27632,25473,27822,28114,29651,34418,33721,38932,39479
 ,Donegal,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,3,3,3,4,5
 , ,Persons Engaged (Number),..,..,..,..,..,1487,1636,1784,2238,2758
 , ,Employees (Number),..,..,..,..,..,1487,1636,1784,2238,2758
 ,Dublin,,,,,,,,,,,
 , ,Active Enterprises (Number),318,298,287,277,288,305,308,323,343,365
 , ,Persons Engaged (Number),307999,289583,280014,273132,278909,286896,291519,305332,323719,344393
 , ,Employees (Number),307710,289288,279711,272818,278598,286627,291154,304917,323262,343934
 ,Galway,,,,,,,,,,,
 , ,Active Enterprises (Number),17,14,14,14,14,14,13,17,21,22
 , ,Persons Engaged (Number),11258,8272,7758,8154,8411,8434,8414,8217,12366,12768
 , ,Employees (Number),11258,8272,7758,8154,8411,8434,8414,8217,12366,12768
 ,Kerry,,,,,,,,,,,
 , ,Active Enterprises (Number),9,8,6,5,5,6,6,8,8,9
 , ,Persons Engaged (Number),3700,3267,2817,2726,2573,2948,3034,3887,4729,5039
 , ,Employees (Number),3700,3267,2817,2726,2573,2948,3034,3887,4729,5039
 ,Kildare,,,,,,,,,,,
 , ,Active Enterprises (Number),13,17,12,14,14,14,16,15,17,17
 , ,Persons Engaged (Number),14130,14744,11911,11754,11610,12012,12903,13792,13240,12942
 , ,Employees (Number),14130,14744,11911,11754,11610,12012,12903,13792,13240,12942
 ,Kilkenny,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,3,3,3,3,3
 , ,Persons Engaged (Number),..,..,..,..,..,2746,2818,2881,2274,2341
 , ,Employees (Number),..,..,..,..,..,2746,2818,2881,2274,2341
 ,Laois,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,..,..,..,..,..
 , ,Persons Engaged (Number),..,..,..,..,..,..,..,..,..,..
 , ,Employees (Number),..,..,..,..,..,..,..,..,..,..
 ,Leitrim,,,,,,,,,,,
 , ,Active Enterprises (Number),3,3,3,3,3,..,0,..,..,..
 , ,Persons Engaged (Number),1284,1258,1182,997,776,..,0,..,..,..
 , ,Employees (Number),1284,1258,1182,997,776,..,0,..,..,..
 ,Limerick,,,,,,,,,,,
 , ,Active Enterprises (Number),15,15,13,12,12,12,14,12,15,15
 , ,Persons Engaged (Number),14275,10922,8529,8139,7643,7907,8875,7946,10387,10798
 , ,Employees (Number),14273,10922,8528,8138,7642,7906,8874,7946,10387,10798
 ,Longford,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,..,..,..,..,..
 , ,Persons Engaged (Number),..,..,..,..,..,..,..,..,..,..
 , ,Employees (Number),..,..,..,..,..,..,..,..,..,..
 ,Louth,,,,,,,,,,,
 , ,Active Enterprises (Number),6,6,5,4,5,5,5,6,8,10
 , ,Persons Engaged (Number),2476,2157,1833,1494,1816,1943,1853,2438,3121,3920
 , ,Employees (Number),2476,2157,1833,1494,1816,1943,1853,2438,3121,3920
 ,Mayo,,,,,,,,,,,
 , ,Active Enterprises (Number),7,6,7,7,7,7,6,7,7,8
 , ,Persons Engaged (Number),3930,3582,3947,4046,4177,4237,4078,4612,4804,5389
 , ,Employees (Number),3928,3580,3945,4044,4175,4235,4078,4612,4804,5389
 ,Meath,,,,,,,,,,,
 , ,Active Enterprises (Number),4,6,7,8,9,9,9,12,13,10
 , ,Persons Engaged (Number),1283,2499,2808,3109,3417,3533,3670,4972,5604,3791
 , ,Employees (Number),1283,2499,2808,3109,3417,3533,3670,4972,5604,3791
 ,Monaghan,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,4,4,4,4,3
 , ,Persons Engaged (Number),..,..,..,..,..,1772,1854,1914,2048,1208
 , ,Employees (Number),..,..,..,..,..,1772,1854,1914,2048,1208
 ,Offaly,,,,,,,,,,,
 , ,Active Enterprises (Number),4,..,..,..,..,..,3,3,3,4
 , ,Persons Engaged (Number),2033,..,..,..,..,..,2080,1653,1704,2029
 , ,Employees (Number),2033,..,..,..,..,..,2080,1653,1704,2029
 ,Roscommon,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,..,..,..,0,..
 , ,Persons Engaged (Number),..,..,..,..,..,..,..,..,0,..
 , ,Employees (Number),..,..,..,..,..,..,..,..,0,..
 ,Sligo,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,4,4,..,..,4,4,4,5
 , ,Persons Engaged (Number),..,..,4506,4634,..,..,3663,3639,3796,4271
 , ,Employees (Number),..,..,4506,4634,..,..,3663,3639,3796,4271
 ,Tipperary,,,,,,,,,,,
 , ,Active Enterprises (Number),12,11,11,10,11,12,11,11,10,12
 , ,Persons Engaged (Number),5389,4161,3962,3867,4155,4556,4859,5021,5546,6259
 , ,Employees (Number),5387,4159,3960,3865,4153,4554,4857,5019,5546,6259
 ,Waterford,,,,,,,,,,,
 , ,Active Enterprises (Number),16,14,14,14,15,16,16,16,18,17
 , ,Persons Engaged (Number),9107,7756,7623,7641,7193,7770,7451,7655,8808,9551
 , ,Employees (Number),9107,7756,7623,7641,7193,7770,7451,7655,8808,9551
 ,Westmeath,,,,,,,,,,,
 , ,Active Enterprises (Number),..,..,..,..,..,..,3,4,6,9
 , ,Persons Engaged (Number),..,..,..,..,..,..,1144,1435,2094,3064
 , ,Employees (Number),..,..,..,..,..,..,1144,1435,2094,3064
 ,Wexford,,,,,,,,,,,
 , ,Active Enterprises (Number),7,6,6,8,8,10,10,13,14,15
 , ,Persons Engaged (Number),2918,2544,2593,3599,3660,4199,4226,5459,5906,6539
 , ,Employees (Number),2917,2544,2593,3599,3660,4199,4226,5459,5906,6539
 ,Wicklow,,,,,,,,,,,
 , ,Active Enterprises (Number),8,7,7,7,6,6,5,7,7,7
 , ,Persons Engaged (Number),4647,4339,4646,4817,4572,4430,2891,3780,3863,4315
 , ,Employees (Number),4647,4339,4646,4817,4572,4430,2891,3780,3863,4315
,,,,,,,,,,,,
Geographical Breakdown for enterprises is an approximation. The ,,,,,,,,,,,,
county breakdown is based on the address at which an enterprise is ,,,,,,,,,,,,
"registered for Revenue purposes, rather than where the business ",,,,,,,,,,,,
"actually operates from, because no comprehensive administrative data ",,,,,,,,,,,,
"source is currently available for business locations. In particular, ",,,,,,,,,,,,
"where an enterprise has local units in several counties, but one head ",,,,,,,,,,,,
"office where all employment is registered, all its employees will be ",,,,,,,,,,,,
counted against the county where the head office is located. ,,,,,,,,,,,,
Enterprises where the county location is categorised as Unknown ,,,,,,,,,,,,
generally have Revenue registered addresses outside of the Republic ,,,,,,,,,,,,
"of Ireland. However, the employees registered with these addresses ",,,,,,,,,,,,
are working in the Republic of Ireland.  ,,,,,,,,,,,,
NACE Code 64.20 Activities of holding companies is excluded from ,,,,,,,,,,,,
Sector K. .. indicates that the data has been suppressed to protect ,,,,,,,,,,,,
the confidentiality of individual enterprises. ,,,,,,,,,,,,
(http://www.cso.ie/en/methods/multisectoral/businessdemography/)  See ,,,,,,,,,,,,
Background Notes  ,,,,,,,,,,,,
